<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.02	1.00730	1.04150	1.00540	1.02980	33463	0	50
2000.01.09	1.02860	1.03700	1.01140	1.01220	32063	0	50
2000.01.16	1.01290	1.01930	1.00500	1.00870	33260	0	50
2000.01.23	1.00280	1.00960	0.97360	0.97490	33667	0	50
2000.01.30	0.97730	0.99470	0.96670	0.98400	34912	0	50
2000.02.06	0.98320	0.99710	0.97540	0.98840	33364	0	50
2000.02.13	0.98770	0.99580	0.97630	0.98450	30764	0	50
2000.02.20	0.98540	1.00890	0.97220	0.97460	30570	0	50
2000.02.27	0.97280	0.98720	0.94010	0.96070	37397	0	50
2000.03.05	0.95670	0.96980	0.95210	0.96390	35087	0	50
2000.03.12	0.96270	0.97400	0.95900	0.97290	33358	0	50
2000.03.19	0.97250	0.97850	0.95730	0.97850	33031	0	50
2000.03.26	0.97740	0.97900	0.94780	0.95520	35143	0	50
2000.04.02	0.95620	0.97490	0.95020	0.95450	33245	0	50
2000.04.09	0.95480	0.96490	0.95100	0.96280	35422	0	50
2000.04.16	0.96480	0.96790	0.93530	0.93830	31168	0	50
2000.04.23	0.93820	0.94510	0.90300	0.91170	31154	0	50
2000.04.30	0.91200	0.91750	0.88470	0.89690	31562	0	50
2000.05.07	0.89650	0.92010	0.89140	0.91850	34255	0	50
2000.05.14	0.91790	0.91900	0.88440	0.89700	31144	0	50
2000.05.21	0.89740	0.93360	0.89520	0.93150	33390	0	50
2000.05.28	0.93280	0.94980	0.92380	0.94580	30688	0	50
2000.06.04	0.94570	0.97000	0.94110	0.95330	32686	0	50
2000.06.11	0.95370	0.96600	0.94900	0.96430	29981	0	50
2000.06.18	0.96370	0.96930	0.93380	0.93620	31295	0	50
2000.06.25	0.93620	0.96030	0.92960	0.95230	30959	0	50
2000.07.02	0.95240	0.95990	0.94580	0.94790	30532	0	50
2000.07.09	0.94850	0.95660	0.93170	0.93830	30886	0	50
2000.07.16	0.93840	0.94010	0.91920	0.93620	31064	0	50
2000.07.23	0.93640	0.94500	0.92210	0.92250	29544	0	50
2000.07.30	0.92380	0.92940	0.89980	0.90810	29282	0	50
2000.08.06	0.90730	0.91400	0.89630	0.90360	28473	0	50
2000.08.13	0.90390	0.91840	0.90000	0.90680	29749	0	50
2000.08.20	0.90700	0.90790	0.89090	0.90220	30205	0	50
2000.08.27	0.90240	0.90450	0.88410	0.90030	27946	0	50
2000.09.03	0.90020	0.90400	0.86350	0.86650	33063	0	50
2000.09.10	0.86410	0.87250	0.85220	0.85220	36644	0	50
2000.09.17	0.85210	0.90080	0.84390	0.87650	35145	0	50
2000.09.24	0.87970	0.88860	0.87120	0.88420	33169	0	50
2000.10.01	0.88410	0.88580	0.86650	0.86820	28685	0	50
2000.10.08	0.86850	0.87680	0.85280	0.85640	29988	0	50
2000.10.15	0.85570	0.85730	0.83260	0.84200	34255	0	50
2000.10.22	0.84150	0.84430	0.82270	0.83870	35857	0	50
2000.10.29	0.84110	0.87960	0.83830	0.86740	39867	0	50
2000.11.05	0.86620	0.87320	0.85160	0.86060	40228	0	50
2000.11.12	0.86210	0.86650	0.84720	0.84780	35445	0	50
2000.11.19	0.84880	0.85360	0.83720	0.83810	34716	0	50
2000.11.26	0.83940	0.87980	0.83870	0.87920	37044	0	50
2000.12.03	0.87870	0.89760	0.87540	0.88780	41089	0	50
2000.12.10	0.88130	0.90020	0.87150	0.89570	40485	0	50
2000.12.17	0.89460	0.92620	0.88790	0.92320	41809	0	50
2000.12.24	0.92300	0.94300	0.91970	0.94240	31570	0	50
