<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.01	1.00730	1.04150	0.96670	0.97110	138774	0	50
2000.02.01	0.97110	1.00890	0.94010	0.96350	138564	0	50
2000.03.01	0.96350	0.97930	0.94780	0.95520	158741	0	50
2000.04.01	0.95620	0.97490	0.90300	0.91170	130989	0	50
2000.05.01	0.91200	0.94120	0.88440	0.93700	149286	0	50
2000.06.01	0.93700	0.97000	0.92840	0.95230	136674	0	50
2000.07.01	0.95240	0.95990	0.91920	0.92660	127362	0	50
2000.08.01	0.92670	0.92930	0.88410	0.88860	134407	0	50
2000.09.01	0.88860	0.90400	0.84390	0.88420	143933	0	50
2000.10.01	0.88410	0.88580	0.82270	0.84840	145693	0	50
2000.11.01	0.84880	0.87960	0.83720	0.87240	162542	0	50
2000.12.01	0.87270	0.94300	0.87010	0.94240	162803	0	50
2001.01.01	0.94210	0.95960	0.91150	0.93770	179557	0	50
2001.02.01	0.93760	0.94450	0.90140	0.92350	157489	0	50
2001.03.01	0.92340	0.93820	0.87490	0.87550	188089	0	50
2001.04.01	0.87430	0.90930	0.87060	0.88920	180298	0	50
2001.05.01	0.88930	0.90090	0.84390	0.84460	189810	0	50
2001.06.01	0.84550	0.86740	0.84100	0.84970	166377	0	50
2001.07.01	0.85030	0.88250	0.83460	0.87630	196467	0	50
2001.08.01	0.87620	0.92410	0.87370	0.91250	207174	0	50
2001.09.01	0.90940	0.93350	0.88240	0.91140	188323	0	50
2001.10.01	0.91030	0.92460	0.88670	0.90020	202803	0	50
2001.11.01	0.90030	0.91210	0.87350	0.89560	193005	0	50
2001.12.01	0.89560	0.90830	0.87410	0.88960	189753	0	50
2002.01.01	0.88970	0.90690	0.85700	0.85920	208695	0	50
2002.02.01	0.85930	0.88030	0.85620	0.86950	170387	0	50
2002.03.01	0.86930	0.88700	0.86290	0.87190	181302	0	50
2002.04.01	0.87160	0.90490	0.87140	0.90050	184477	0	50
2002.05.01	0.90050	0.94160	0.89900	0.93370	203833	0	50
2002.06.01	0.93300	0.99920	0.93020	0.99110	187740	0	50
2002.07.01	0.99140	1.02100	0.97140	0.97740	228134	0	50
2002.08.01	0.97720	0.99190	0.96210	0.98150	205862	0	50
2002.09.01	0.98240	0.99930	0.96080	0.98650	199411	0	50
2002.10.01	0.98660	0.99310	0.96870	0.99060	204564	0	50
2002.11.01	0.99040	1.01730	0.98770	0.99380	191521	0	50
2002.12.01	0.99280	1.05070	0.98600	1.04890	193056	0	50
2003.01.01	1.04920	1.09100	1.03350	1.07710	218607	0	50
2003.02.01	1.07890	1.09380	1.06640	1.08060	197440	0	50
2003.03.01	1.07790	1.10870	1.05020	1.09220	213165	0	50
2003.04.01	1.09160	1.11910	1.05590	1.11830	211561	0	50
2003.05.01	1.11820	1.19310	1.11540	1.17850	249588	0	50
2003.06.01	1.17200	1.19320	1.13990	1.15240	227029	0	50
2003.07.01	1.15230	1.16130	1.11120	1.12330	248743	0	50
2003.08.01	1.12340	1.14300	1.07880	1.09850	211864	0	50
2003.09.01	1.09900	1.17390	1.07620	1.16580	226623	0	50
2003.10.01	1.16530	1.18650	1.15310	1.15860	242812	0	50
2003.11.01	1.15820	1.20190	1.13760	1.19980	202971	0	50
2003.12.01	1.19880	1.26490	1.19350	1.25880	229361	0	50
2004.01.01	1.25920	1.29010	1.23330	1.24670	239514	0	40
2004.02.01	1.24810	1.29300	1.23710	1.24950	225344	0	40
2004.03.01	1.24810	1.25440	1.20460	1.23160	242768	0	40
2004.04.01	1.23140	1.23910	1.17590	1.19860	231436	0	40
2004.05.01	1.19960	1.23000	1.17700	1.21920	264638	0	40
2004.06.01	1.21970	1.23560	1.19530	1.21860	269963	0	40
2004.07.01	1.21880	1.24640	1.19900	1.20190	252811	0	40
2004.08.01	1.20690	1.23910	1.19680	1.21820	236950	0	40
2004.09.01	1.21810	1.24460	1.20260	1.24280	199713	0	40
2004.10.01	1.24290	1.28440	1.22240	1.27870	191750	0	40
2004.11.01	1.28180	1.33360	1.26550	1.32890	201135	0	40
2004.12.01	1.32890	1.36700	1.31390	1.35620	208582	0	40
2005.01.01	1.35620	1.35810	1.29220	1.30450	197511	0	30
2005.02.01	1.30460	1.32800	1.27320	1.32150	183667	0	30
2005.03.01	1.32160	1.34830	1.28560	1.29650	210865	0	30
2005.04.01	1.29620	1.31270	1.27670	1.28740	218319	0	30
2005.05.01	1.28620	1.29930	1.22940	1.23080	253833	0	30
2005.06.01	1.23080	1.23560	1.19820	1.20940	282482	0	30
2005.07.01	1.20910	1.22590	1.18650	1.21230	265591	0	30
2005.08.01	1.21230	1.24890	1.21170	1.23420	283337	0	30
2005.09.01	1.23410	1.25910	1.19780	1.20640	262830	0	30
2005.10.01	1.20200	1.22090	1.18750	1.19840	217430	0	30
2005.11.01	1.19830	1.20850	1.16380	1.17900	209022	0	30
2005.12.01	1.17900	1.20640	1.16600	1.18390	197771	0	30
2006.01.01	1.18490	1.23240	1.18010	1.21480	207398	0	20
2006.02.01	1.21410	1.21670	1.18250	1.19310	179385	0	20
2006.03.01	1.19290	1.22090	1.18590	1.21160	224066	0	20
2006.04.01	1.21190	1.26430	1.20310	1.26350	198788	0	20
2006.05.01	1.26290	1.29730	1.25550	1.28170	232791	0	20
2006.06.01	1.28170	1.29810	1.24780	1.27900	216773	0	20
2006.07.01	1.27880	1.28640	1.24570	1.27670	201899	0	20
2006.08.01	1.27690	1.29420	1.26940	1.28060	218478	0	20
2006.09.01	1.28090	1.28770	1.26290	1.26730	206868	0	20
2006.10.01	1.26830	1.27820	1.24830	1.27650	148672	0	20
2006.11.01	1.27640	1.32730	1.26810	1.32380	161557	0	20
2006.12.01	1.32380	1.33640	1.30510	1.31980	177552	0	20
2007.01.01	1.31890	1.32960	1.28650	1.30210	179496	0	20
2007.02.01	1.30220	1.32580	1.29110	1.32230	120526	0	20
2007.03.01	1.32250	1.34100	1.30700	1.33540	148549	0	20
2007.04.01	1.33720	1.36810	1.33180	1.36420	113319	0	20
2007.05.01	1.36410	1.36710	1.34060	1.34510	113386	0	20
2007.06.01	1.34510	1.35530	1.32620	1.35400	101621	0	20
2007.07.01	1.35420	1.38510	1.35270	1.36770	134104	0	20
2007.08.01	1.36790	1.38380	1.33600	1.36280	185935	0	20
2007.09.01	1.36280	1.42780	1.35500	1.42660	137237	0	20
2007.10.01	1.42800	1.45030	1.40140	1.44710	169463	0	20
2007.11.01	1.44720	1.49660	1.44030	1.46380	218143	0	20
2007.12.01	1.46480	1.47690	1.43090	1.46010	157765	0	20
2008.01.01	1.46520	1.49210	1.43650	1.48470	261310	0	20
2008.02.01	1.48500	1.52380	1.44380	1.51780	239877	0	20
2008.03.01	1.52120	1.59020	1.51450	1.57610	315189	0	20
2008.04.01	1.57640	1.60180	1.55100	1.56190	317506	0	20
2008.05.01	1.56190	1.58180	1.52840	1.55540	262880	0	20
2008.06.01	1.55610	1.58430	1.53020	1.57530	268794	0	20
2008.07.01	1.57530	1.60380	1.55210	1.55970	282943	0	20
2008.08.01	1.55970	1.56310	1.45710	1.46780	278707	0	20
2008.09.01	1.47090	1.48670	1.38810	1.41150	507845	0	20
2008.10.01	1.41150	1.41740	1.23300	1.27270	765461	0	20
2008.11.01	1.27660	1.31140	1.23890	1.26900	616113	0	20
2008.12.01	1.26940	1.47190	1.25520	1.39360	379076	0	20
2009.01.01	1.38680	1.39860	1.27630	1.28120	1227039	0	20
2009.02.01	1.27520	1.30930	1.25120	1.26660	1063605	0	20
2009.03.01	1.26170	1.37370	1.24560	1.32426	680459	0	20
2009.04.01	1.32416	1.35806	1.28844	1.32236	1003935	0	20
2009.05.01	1.32235	1.41678	1.32123	1.41597	1647629	0	20
2009.06.01	1.41322	1.43378	1.37477	1.40352	1972886	0	20
2009.07.01	1.40360	1.43036	1.38323	1.42561	1755201	0	20
2009.08.01	1.42703	1.44465	1.40454	1.43311	1349026	0	20
2009.09.01	1.43310	1.48427	1.41770	1.46368	1014602	0	7
2009.10.01	1.46367	1.50617	1.44835	1.47185	1171349	0	8
2009.11.01	1.47346	1.51437	1.46262	1.50075	1150472	0	8
2009.12.01	1.50074	1.51399	1.42175	1.43306	971268	0	8
2010.01.01	1.43259	1.45785	1.38610	1.38611	948949	0	8
2010.02.01	1.38627	1.40255	1.34433	1.36310	943750	0	8
2010.03.01	1.36222	1.38171	1.32671	1.35062	897812	0	8
2010.04.01	1.35065	1.36913	1.31141	1.32936	883127	0	8
2010.05.01	1.33296	1.33326	1.21435	1.23080	1288374	0	8
2010.06.01	1.23061	1.24664	1.18758	1.22302	1175430	1237300000	7
2010.07.01	1.22300	1.31060	1.21930	1.30504	1019903	0	7
2010.08.01	1.30596	1.33327	1.25874	1.26889	866477	0	5
2010.09.01	1.26892	1.36825	1.26434	1.36283	837519	0	5
2010.10.01	1.36295	1.41505	1.36183	1.39459	1105255	0	7
2010.11.01	1.39703	1.42813	1.29694	1.29811	1729897	0	8
2010.12.01	1.29809	1.34966	1.29707	1.33827	1652760	0	4
2011.01.01	1.33443	1.37573	1.28736	1.36908	1753273	0	5
2011.02.01	1.36908	1.38607	1.34279	1.38088	1340042	0	7
2011.03.01	1.38088	1.42479	1.37447	1.41736	1654474	0	5
2011.04.01	1.41733	1.48809	1.40614	1.48062	1378150	14575658000	6
2011.05.01	1.48249	1.49385	1.39692	1.43945	1466068	0	7
2011.06.01	1.43947	1.46955	1.40731	1.44906	1620097	0	6
2011.07.01	1.44908	1.45769	1.38371	1.43945	1811397	42079361000	5
2011.08.01	1.43607	1.45482	1.40553	1.43725	2194663	297638199316	4
2011.09.01	1.43725	1.43767	1.33624	1.33846	2322427	0	4
2011.10.01	1.33447	1.42460	1.31458	1.38594	2222807	0	2
2011.11.01	1.38592	1.38702	1.32119	1.34392	2194943	0	4
2011.12.01	1.34392	1.35449	1.28577	1.29565	1636281	0	3
2012.01.01	1.29443	1.32330	1.26241	1.30879	1771091	0	4
2012.02.01	1.30881	1.34856	1.29745	1.33232	1748617	0	4
2012.03.01	1.33227	1.33848	1.30032	1.33408	1595899	0	5
2012.04.01	1.33562	1.33801	1.29945	1.32417	1484306	0	5
2012.05.01	1.32416	1.32828	1.23362	1.23597	1791217	0	5
2012.06.01	1.23594	1.27468	1.22882	1.26655	1829608	0	5
2012.07.01	1.26696	1.26703	1.20418	1.22989	1720739	0	4
2012.08.01	1.22989	1.26360	1.21337	1.25783	1573184	0	4
2012.09.01	1.25803	1.31706	1.25012	1.28595	1367528	0	4
2012.10.01	1.28488	1.31384	1.28031	1.29582	1280791	0	2
2012.11.01	1.29581	1.30267	1.26612	1.29848	1280478	0	3
2012.12.01	1.29934	1.33076	1.28769	1.31964	989772	0	3
2013.01.01	1.32036	1.35931	1.29975	1.35869	1178890	0	3
2013.02.01	1.35864	1.37106	1.30180	1.30665	1000385	0	1
2013.03.01	1.30664	1.31341	1.27509	1.28148	902833	0	1
2013.04.01	1.28112	1.32015	1.27454	1.31664	1013686	0	1
2013.05.01	1.31667	1.32427	1.27962	1.29956	1105511	0	1
2013.06.01	1.29922	1.34158	1.29555	1.30078	1207940	0	1
2013.07.01	1.30144	1.33446	1.27553	1.32963	1175882	0	1
2013.08.01	1.33022	1.34518	1.31750	1.32195	941655	0	1
2013.09.01	1.32122	1.35685	1.31047	1.35215	713383	0	1
2013.10.01	1.35215	1.38320	1.34734	1.35880	791255	0	1
2013.11.01	1.35878	1.36214	1.32959	1.35901	733298	0	1
2013.12.01	1.35878	1.38930	1.35241	1.37876	732363	0	1
2014.01.01	1.37550	1.37749	1.34790	1.34849	909525	0	1
2014.02.01	1.34855	1.38241	1.34770	1.38016	711426	0	1
2014.03.01	1.37856	1.39666	1.37047	1.37735	1239721	0	1
2014.04.01	1.37734	1.39057	1.36725	1.38653	948587	0	1
2014.05.01	1.38656	1.39932	1.35858	1.36339	791684	0	1
2014.06.01	1.36304	1.36969	1.35028	1.36927	789482	0	1
2014.07.01	1.36786	1.36820	1.33665	1.33877	828268	0	1
2014.08.01	1.33872	1.34446	1.31323	1.31323	844191	0	1
2014.09.01	1.31292	1.31600	1.25712	1.26307	1157836	0	1
2014.10.01	1.26306	1.28868	1.24851	1.25231	1746135	0	1
2014.11.01	1.25085	1.25991	1.23571	1.24498	1630093	22224335000	1
2014.12.01	1.24613	1.25696	1.20973	1.20995	1642395	1871828546800	1
2015.01.01	1.20538	1.20690	1.10970	1.12844	1561542	26232873000	1
2015.02.01	1.13115	1.15332	1.11758	1.11957	1291573	0	1
2015.03.01	1.11805	1.12402	1.04619	1.07308	1697941	0	1
2015.04.01	1.07331	1.12659	1.05202	1.12222	1842954	0	1
